,v_24h,obs_cover_percent
2021-05-02,,9.282407407407407
2021-05-03,57.478423081413155,5.775462962962963
2021-05-04,56.777865735508485,6.608796296296296
2021-05-05,54.6631057136756,11.168981481481481
2021-05-06,51.155741022791325,7.986111111111111
2021-05-07,50.35160548315884,8.194444444444445
2021-05-08,54.0865083191932,11.018518518518517
2021-05-09,57.71322254453588,10.104166666666666
2021-05-10,48.08282674671032,11.747685185185185
2021-05-11,62.25059151244908,9.606481481481481
2021-05-12,47.8419745851913,7.048611111111111
2021-05-13,53.11429095355043,7.3032407407407405
2021-05-14,56.6252127951857,8.75
2021-05-15,57.048068911017886,9.618055555555555
2021-05-16,51.20023244445757,9.965277777777777
2021-05-17,55.491945601049075,7.5115740740740735
2021-05-18,54.53194704723266,8.356481481481481
2021-05-19,52.14255503254781,11.099537037037036
2021-05-20,58.312303669703475,7.939814814814814
2021-05-21,53.293959412998944,6.608796296296296
2021-05-22,59.15811805721265,5.960648148148148
2021-05-23,58.71954153449311,10.416666666666666
2021-05-24,48.43398516721136,15.763888888888888
2021-05-25,61.097938039153455,4.907407407407407
2021-05-26,56.66439469711741,3.472222222222222
2021-05-27,52.52871641395645,3.5416666666666665
2021-05-28,83.42981109744814,3.5648148148148144
2021-05-29,40.54622832797774,9.768518518518517
2021-05-30,49.41757655160569,8.391203703703702
2021-05-31,62.57523601814171,15.150462962962962
2021-06-01,45.4021326652674,12.847222222222221
2021-06-02,51.05758631085041,15.069444444444443
2021-06-03,57.920035838688094,12.210648148148147
2021-06-04,54.68950293007263,15.601851851851851
2021-06-05,53.14311085789094,4.236111111111111
2021-06-06,63.61511346373057,9.837962962962962
2021-06-07,50.5650061539529,9.097222222222221
2021-06-08,52.26063202498824,11.585648148148147
2021-06-09,53.45729872276981,11.944444444444445
2021-06-10,52.56528278552739,11.631944444444445
2021-06-11,51.86126359492733,14.618055555555555
2021-06-12,54.77307306956802,8.877314814814815
2021-06-13,52.52672923212102,11.724537037037036
2021-06-14,58.31495322467395,13.217592592592592
2021-06-15,51.681458675595366,12.824074074074073
2021-06-16,58.644622189574925,12.974537037037036
2021-06-17,46.98523778473544,8.657407407407407
2021-06-18,53.97555032625339,10.706018518518517
2021-06-19,59.39278961175286,16.064814814814813
2021-06-20,56.95076439126533,15.949074074074073
2021-06-21,55.8186486290049,8.00925925925926
2021-06-22,50.279678144988495,13.217592592592592
2021-06-23,59.34996855490683,12.037037037037036
2021-06-24,55.02149117500747,6.469907407407407
2021-06-25,47.22789561939525,12.824074074074073
2021-06-26,46.69419517880584,13.414351851851851
2021-06-27,59.006364071770946,11.203703703703702
2021-06-28,45.36638622913996,13.310185185185185
2021-06-29,60.68505691978918,8.32175925925926
2021-06-30,55.419851412930186,10.56712962962963
2021-07-01,53.23664601448712,7.8240740740740735
2021-07-02,52.199347518253944,12.650462962962962
2021-07-03,60.993170678716965,9.791666666666666
2021-07-04,57.33060575734235,4.525462962962963
2021-07-05,54.42739925423534,6.967592592592593
2021-07-06,41.352210028730546,5.856481481481481
2021-07-07,54.77468916247052,7.939814814814814
2021-07-08,57.13627462231869,11.782407407407407
2021-07-09,53.922900689037334,9.467592592592592
2021-07-10,60.622703578276784,7.1875
2021-07-11,53.81728705480435,11.759259259259258
2021-07-12,57.351724559025044,10.856481481481481
2021-07-13,51.04958746068888,6.666666666666666
2021-07-14,51.64311215080851,10.11574074074074
2021-07-15,50.080041585089006,4.791666666666666
2021-07-16,39.058335953865594,7.662037037037036
2021-07-17,58.29932681886286,11.921296296296296
2021-07-18,76.50703711865549,6.215277777777778
2021-07-19,51.83427473782853,13.854166666666666
2021-07-20,59.31905352644045,12.789351851851851
2021-07-21,32.37398433405979,7.581018518518518
2021-07-22,61.06090946721797,5.7407407407407405
2021-07-23,53.25480180699777,8.148148148148147
2021-07-24,55.45540375704359,13.171296296296296
2021-07-25,54.38572809270481,15.99537037037037
2021-07-26,38.47536174586066,16.400462962962962
2021-07-27,73.06258434800513,8.518518518518517
2021-07-28,61.0818631286505,7.777777777777778
2021-07-29,62.56970813315722,0.9490740740740741
2021-07-30,48.220960004391884,8.69212962962963
2021-07-31,59.572839530408906,6.018518518518518
2021-08-01,64.73673678324677,8.00925925925926
2021-08-02,41.21402987215218,9.525462962962962
2021-08-03,80.15955734065403,4.0625
2021-08-04,30.340963248975633,6.898148148148148
2021-08-05,62.14367093192852,11.296296296296296
2021-08-06,52.32810102123857,12.581018518518517
2021-08-07,49.25661570051127,8.460648148148147
2021-08-08,38.98147703931767,11.898148148148147
2021-08-09,67.37309612532367,6.631944444444444
2021-08-10,56.48925944052547,15.590277777777777
2021-08-11,58.48943403954786,3.7384259259259256
2021-08-12,63.9285756690823,6.585648148148148
2021-08-13,34.785796386791226,14.502314814814815
2021-08-14,74.52233835079207,8.49537037037037
2021-08-15,38.75251859505581,4.583333333333333
2021-08-16,56.23523323935057,6.215277777777778
2021-08-17,55.679496060304764,9.247685185185185
2021-08-18,55.32965982266917,6.0532407407407405
