,v_24h,obs_cover_percent
2021-05-02,,9.282407407407407
2021-05-03,57.47842296285589,5.775462962962963
2021-05-04,56.77786574341654,6.608796296296296
2021-05-05,54.66310573406046,11.168981481481481
2021-05-06,51.15574099269241,7.986111111111111
2021-05-07,50.35160551208455,8.194444444444445
2021-05-08,54.086508286623165,11.018518518518517
2021-05-09,57.71322256246356,10.104166666666666
2021-05-10,48.08282674393997,11.747685185185185
2021-05-11,62.250591489498994,9.606481481481481
2021-05-12,47.84197461408396,7.048611111111111
2021-05-13,53.11429093467137,7.3032407407407405
2021-05-14,56.625212788698434,8.75
2021-05-15,57.048068930538406,9.618055555555555
2021-05-16,51.20023248088227,9.965277777777777
2021-05-17,55.49194557928481,7.5115740740740735
2021-05-18,54.53194701461214,8.356481481481481
2021-05-19,52.14255502922514,11.099537037037036
2021-05-20,58.312303679401246,7.939814814814814
2021-05-21,53.29395940039652,6.608796296296296
2021-05-22,59.1581181236829,5.960648148148148
2021-05-23,58.719541495315816,10.416666666666666
2021-05-24,48.43398515601949,15.763888888888888
2021-05-25,61.09793808403155,4.907407407407407
2021-05-26,56.66439465275222,3.472222222222222
2021-05-27,52.52871639736792,3.5416666666666665
2021-05-28,83.42981109742266,3.5648148148148144
2021-05-29,40.54622834110199,9.768518518518517
2021-05-30,49.41757654744798,8.391203703703702
2021-05-31,62.57523602658269,15.150462962962962
2021-06-01,45.40213266698616,12.847222222222221
2021-06-02,51.05758631943414,15.069444444444443
2021-06-03,57.92003585638953,12.210648148148147
2021-06-04,54.689502889507644,15.601851851851851
2021-06-05,53.143110871364584,4.236111111111111
2021-06-06,63.615113509020674,9.837962962962962
2021-06-07,50.565006170299576,9.097222222222221
2021-06-08,52.260631971544264,11.585648148148147
2021-06-09,53.45729869638992,11.944444444444445
2021-06-10,52.56528280040057,11.631944444444445
2021-06-11,51.86126361267516,14.618055555555555
2021-06-12,54.773073040941874,8.877314814814815
2021-06-13,52.526729230163824,11.724537037037036
2021-06-14,58.31495326524704,13.217592592592592
2021-06-15,51.68145868275199,12.824074074074073
2021-06-16,58.644622175687644,12.974537037037036
2021-06-17,46.985237812520374,8.657407407407407
2021-06-18,53.97555032535509,10.706018518518517
2021-06-19,59.39278956847965,16.064814814814813
2021-06-20,56.95076437619102,15.949074074074073
2021-06-21,55.818648646136985,8.00925925925926
2021-06-22,50.279678175872576,13.217592592592592
2021-06-23,59.34996850249287,12.037037037037036
2021-06-24,55.02149120159401,6.469907407407407
2021-06-25,47.227895624199846,12.824074074074073
2021-06-26,46.69419515784727,13.414351851851851
2021-06-27,59.006364070908646,11.203703703703702
2021-06-28,45.366386228520334,13.310185185185185
2021-06-29,60.68505691417354,8.32175925925926
2021-06-30,55.4198514130872,10.56712962962963
2021-07-01,53.2366460455279,7.8240740740740735
2021-07-02,52.199347493115596,12.650462962962962
2021-07-03,60.993170687971904,9.791666666666666
2021-07-04,57.33060577885438,4.525462962962963
2021-07-05,54.42739923087024,6.967592592592593
2021-07-06,41.35221004172016,5.856481481481481
2021-07-07,54.77468913252952,7.939814814814814
2021-07-08,57.136274685258,11.782407407407407
2021-07-09,53.92290067881888,9.467592592592592
2021-07-10,60.62270353837621,7.1875
2021-07-11,53.81728706438955,11.759259259259258
